epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,25.2508,0.65489,0.59161,0.87731,0.94977,0.9381,0.95691,0.79344,0.70969,0.52978,1.04087,0.000333058,0.000333058,0.000333058
34,25.8919,0.58823,0.59008,0.90066,0.94977,0.9381,0.95691,0.79344,0.70969,0.52978,1.04087,0.000315059,0.000315059,0.000315059
35,26.5299,0.54027,0.51766,0.89616,0.93202,0.93466,0.95843,0.79372,0.7005,0.51806,1.03911,0.000297061,0.000297061,0.000297061
36,27.2031,0.7223,0.65432,0.96168,0.93202,0.93466,0.95843,0.79372,0.7005,0.51806,1.03911,0.000279063,0.000279063,0.000279063
37,27.8835,0.54669,0.54026,0.90498,0.92504,0.94232,0.95333,0.82084,0.65298,0.48859,1.02746,0.000261065,0.000261065,0.000261065
38,28.6291,0.58764,0.53944,0.91097,0.92504,0.94232,0.95333,0.82084,0.65298,0.48859,1.02746,0.000243067,0.000243067,0.000243067
39,29.2928,0.58589,0.52777,0.87992,0.93653,0.94203,0.94792,0.82474,0.61327,0.45422,1.0095,0.000225068,0.000225068,0.000225068
40,29.9711,0.67928,0.57333,0.92423,0.93653,0.94203,0.94792,0.82474,0.61327,0.45422,1.0095,0.00020707,0.00020707,0.00020707
41,31.9776,0.55332,0.55652,0.90512,0.94806,0.94095,0.94839,0.80837,0.63977,0.46716,1.00593,0.000189072,0.000189072,0.000189072
42,32.8074,0.54909,0.59157,0.85679,0.94806,0.94095,0.94839,0.80837,0.63977,0.46716,1.00593,0.000171074,0.000171074,0.000171074
43,33.4592,0.52103,0.5332,0.84939,0.95434,0.94103,0.94818,0.82981,0.62976,0.47055,0.99852,0.000153076,0.000153076,0.000153076
44,34.1642,0.52288,0.55278,0.85429,0.95434,0.94103,0.94818,0.82981,0.62976,0.47055,0.99852,0.000135077,0.000135077,0.000135077
45,34.8809,0.53939,0.55126,0.89425,0.95372,0.93983,0.94818,0.82727,0.60494,0.47659,0.99649,0.000117079,0.000117079,0.000117079
